open,high,low,close,volume,Company,Symbol,20_MA,50_MA,Symbol_encoded
1500.0,1524.0,1498.25,1514.6,335390.0,HDFC Bank,HDFCBANK.BSE,1602.145,1625.628,1
1523.55,1523.85,1501.7,1507.85,1320000.0,HDFC Bank,HDFCBANK.BSE,1592.7125,1622.795,1
1527.95,1535.45,1524.9,1530.5,600350.0,HDFC Bank,HDFCBANK.BSE,1584.2625,1620.5629999999999,1
1523.35,1544.95,1519.0,1527.95,1040000.0,HDFC Bank,HDFCBANK.BSE,1575.1150000000002,1618.624,1
1489.45,1519.95,1487.1,1516.65,592210.0,HDFC Bank,HDFCBANK.BSE,1567.3425,1616.9370000000001,1
1458.0,1495.0,1457.6,1492.2,833670.0,HDFC Bank,HDFCBANK.BSE,1558.6825000000001,1614.478,1
1462.1,1465.7,1449.0,1459.75,168710.0,HDFC Bank,HDFCBANK.BSE,1548.22,1610.4820000000002,1
1454.0,1469.75,1454.0,1458.4,181980.0,HDFC Bank,HDFCBANK.BSE,1538.2400000000002,1606.8419999999999,1
1464.25,1468.95,1463.4,1465.4,68410.0,HDFC Bank,HDFCBANK.BSE,1531.0725,1603.8090000000002,1
1455.0,1468.0,1449.0,1464.9,692540.0,HDFC Bank,HDFCBANK.BSE,1524.4450000000002,1600.8010000000002,1
1442.55,1462.0,1436.0,1460.15,458835.0,HDFC Bank,HDFCBANK.BSE,1518.4074999999998,1597.869,1
1459.6,1459.6,1436.0,1438.85,531031.0,HDFC Bank,HDFCBANK.BSE,1511.6575,1594.29,1
1450.65,1465.3,1450.15,1461.8,351466.0,HDFC Bank,HDFCBANK.BSE,1506.51,1591.2,1
1432.9,1460.45,1430.15,1455.8,931573.0,HDFC Bank,HDFCBANK.BSE,1501.225,1588.2220000000002,1
1441.0,1452.15,1432.0,1437.6,833752.0,HDFC Bank,HDFCBANK.BSE,1494.4425,1584.614,1
1490.0,1490.0,1445.55,1448.3,184828.0,HDFC Bank,HDFCBANK.BSE,1488.885,1580.764,1
1496.0,1496.65,1480.55,1482.2,446454.0,HDFC Bank,HDFCBANK.BSE,1485.43,1578.266,1
1522.0,1524.05,1504.4,1506.4,400250.0,HDFC Bank,HDFCBANK.BSE,1486.6125,1576.1040000000003,1
1520.05,1534.5,1518.0,1522.8,248692.0,HDFC Bank,HDFCBANK.BSE,1484.1474999999998,1574.1619999999998,1
1534.4,1540.0,1507.25,1518.65,715787.0,HDFC Bank,HDFCBANK.BSE,1483.5375,1572.093,1
1520.45,1537.2,1520.05,1533.0,198548.0,HDFC Bank,HDFCBANK.BSE,1484.4575,1570.266,1
1530.0,1539.4,1514.4,1517.05,248830.0,HDFC Bank,HDFCBANK.BSE,1484.9175,1568.1730000000002,1
1514.0,1533.95,1506.5,1528.8,415345.0,HDFC Bank,HDFCBANK.BSE,1484.8325,1566.224,1
1518.35,1527.85,1505.75,1509.75,621831.0,HDFC Bank,HDFCBANK.BSE,1483.9225,1563.6889999999999,1
1508.5,1519.0,1508.0,1510.65,194898.0,HDFC Bank,HDFCBANK.BSE,1483.6225,1561.204,1
1515.05,1521.7,1508.75,1510.95,153513.0,HDFC Bank,HDFCBANK.BSE,1484.56,1558.461,1
1520.0,1525.1,1503.1,1507.2,465553.0,HDFC Bank,HDFCBANK.BSE,1486.9325000000001,1554.0729999999999,1
1550.35,1556.5,1507.95,1512.3,1254779.0,HDFC Bank,HDFCBANK.BSE,1489.6275,1548.9520000000002,1
1487.85,1535.2,1480.55,1531.3,844129.0,HDFC Bank,HDFCBANK.BSE,1492.9225000000001,1544.967,1
1516.3,1518.85,1490.75,1494.6,498958.0,HDFC Bank,HDFCBANK.BSE,1494.4074999999998,1540.764,1
